"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.869144570E-1,3.705000132E-2,7.605000585E-2,9.745050430E0
4.889029950E-1,3.705000132E-2,6.599999964E-2,9.757050514E0
4.908913800E-1,4.605000094E-2,7.395000011E-2,9.757050514E0
4.928799180E-1,4.395000264E-2,5.895000324E-2,9.751950264E0
4.948683030E-1,4.395000264E-2,6.405000389E-2,9.766950607E0
4.968566110E-1,4.905000329E-2,8.100000024E-2,9.763950348E0
4.988452640E-1,3.000000119E-2,6.900000572E-2,9.763950348E0
5.008338020E-1,3.705000132E-2,7.605000585E-2,9.763950348E0
5.028221100E-1,2.700000070E-2,7.095000148E-2,9.742950439E0
5.048104950E-1,4.605000094E-2,7.605000585E-2,9.750000000E0
5.067991100E-1,3.900000080E-2,8.100000024E-2,9.750000000E0
5.087876490E-1,2.505000122E-2,7.800000161E-2,9.750000000E0
5.107759560E-1,3.000000119E-2,7.095000148E-2,9.754950523E0
5.127643410E-1,2.700000070E-2,9.300000221E-2,9.747000694E0
5.147528790E-1,3.000000119E-2,9.300000221E-2,9.754950523E0
5.167412640E-1,2.700000070E-2,7.395000011E-2,9.750000000E0
5.187298020E-1,1.995000057E-2,8.100000024E-2,9.769050598E0
5.207181870E-1,4.395000264E-2,8.295000345E-2,9.759000778E0
5.227067120E-1,3.000000119E-2,7.800000161E-2,9.774000168E0
5.246950190E-1,3.000000119E-2,9.000000358E-2,9.762000084E0
5.266836350E-1,4.200000316E-2,8.595000207E-2,9.762000084E0
5.286719420E-1,3.900000080E-2,7.095000148E-2,9.762000084E0
5.306605580E-1,3.000000119E-2,7.800000161E-2,9.769050598E0
5.326488650E-1,2.700000070E-2,7.395000011E-2,9.766950607E0
5.346371730E-1,3.900000080E-2,7.605000585E-2,9.757050514E0
5.366257890E-1,3.195000067E-2,7.095000148E-2,9.774000168E0
5.386141730E-1,6.000000052E-3,6.900000572E-2,9.751950264E0
5.406027120E-1,2.505000122E-2,9.300000221E-2,9.750000000E0
5.425910190E-1,2.205000073E-2,7.605000585E-2,9.745050430E0
5.445796350E-1,2.700000070E-2,6.900000572E-2,9.739950180E0
5.465679370E-1,3.000000119E-2,8.595000207E-2,9.742950439E0
5.485563220E-1,1.995000057E-2,8.805000782E-2,9.759000778E0
5.505449370E-1,1.305000018E-2,8.295000345E-2,9.751950264E0
5.525332450E-1,7.950000465E-3,7.800000161E-2,9.754950523E0
5.545217840E-1,1.500000060E-2,9.300000221E-2,9.774000168E0
5.565101680E-1,1.050000079E-3,8.805000782E-2,9.774000168E0
5.584986880E-1,1.050000079E-3,8.805000782E-2,9.802950859E0
5.604870720E-1,1.005000062E-2,1.120500043E-1,9.782999992E0
5.624753800E-1,0.000000000E0,1.020000055E-1,9.778950691E0
5.644639950E-1,1.305000018E-2,1.000500023E-1,9.795000076E0
5.664525340E-1,-1.500000060E-2,9.495000541E-2,9.775950432E0
5.684409180E-1,-1.500000060E-2,7.800000161E-2,9.774000168E0
5.704292160E-1,-7.950000465E-3,1.240500063E-1,9.754950523E0
5.724175240E-1,-2.205000073E-2,1.020000055E-1,9.757050514E0
5.744061390E-1,-1.005000062E-2,1.069500074E-1,9.747000694E0
5.763946780E-1,-1.695000008E-2,1.050000042E-1,9.750000000E0
5.783830620E-1,-2.700000070E-2,9.795000404E-2,9.745050430E0
5.803713700E-1,-2.205000073E-2,9.495000541E-2,9.733050346E0
5.823599850E-1,-2.400000021E-2,9.300000221E-2,9.730950356E0
5.843482930E-1,-2.400000021E-2,9.495000541E-2,9.750000000E0
5.863368320E-1,-3.600000218E-2,9.495000541E-2,9.736050606E0
5.883254470E-1,-3.405000269E-2,9.300000221E-2,9.763950348E0
5.903137550E-1,-5.100000277E-2,7.605000585E-2,9.762000084E0
5.923021390E-1,-1.695000008E-2,8.805000782E-2,9.766950607E0
5.942906830E-1,-2.400000021E-2,8.805000782E-2,9.745050430E0
5.962790670E-1,-2.700000070E-2,9.495000541E-2,9.738000870E0
5.982676060E-1,-1.995000057E-2,6.599999964E-2,9.754950523E0
6.002559140E-1,-1.500000060E-2,8.100000024E-2,9.738000870E0
