"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.023102797E0,-2.456250191E0,-3.281250000E1,-4.661250305E1
5.043143094E0,-2.456250191E0,-3.264375305E1,-4.661250305E1
5.063172902E0,-2.156250000E0,-3.294375229E1,-4.625625229E1
5.083163142E0,-2.343750000E0,-3.294375229E1,-4.584375000E1
5.103176646E0,-2.100000143E0,-3.288750076E1,-4.565625000E1
5.123165603E0,-2.287500143E0,-3.270000076E1,-4.560000229E1
5.143139381E0,-2.287500143E0,-3.294375229E1,-4.548750305E1
5.163136045E0,-2.100000143E0,-3.294375229E1,-4.548750305E1
5.183140309E0,-2.100000143E0,-3.294375229E1,-4.554375076E1
5.203144530E0,-2.100000143E0,-3.330000305E1,-4.571250153E1
5.223171707E0,-2.100000143E0,-3.311250305E1,-4.578750229E1
5.243175962E0,-1.987500072E0,-3.311250305E1,-4.595625305E1
5.263175889E0,-2.212500095E0,-3.311250305E1,-4.620000076E1
5.283158187E0,-2.212500095E0,-3.311250305E1,-4.620000076E1
5.303130462E0,-2.343750000E0,-3.270000076E1,-4.631250000E1
5.323101168E0,-2.456250191E0,-3.288750076E1,-4.614375305E1
5.343064528E0,-2.456250191E0,-3.288750076E1,-4.608750153E1
5.363073591E0,-2.400000095E0,-3.258750153E1,-4.608750153E1
5.383069874E0,-2.700000048E0,-3.240000153E1,-4.608750153E1
5.403092475E0,-2.887500048E0,-3.221250153E1,-4.590000153E1
5.423126729E0,-2.812500000E0,-3.234375000E1,-4.590000153E1
5.443140566E0,-2.700000048E0,-3.234375000E1,-4.578750229E1
5.463169552E0,-2.587500095E0,-3.234375000E1,-4.560000229E1
5.483150945E0,-2.287500143E0,-3.251250076E1,-4.578750229E1
5.503147584E0,-2.156250000E0,-3.264375305E1,-4.584375000E1
5.523144218E0,-2.212500095E0,-3.281250000E1,-4.584375000E1
5.543148477E0,-2.212500095E0,-3.281250000E1,-4.625625229E1
5.563168025E0,-1.987500072E0,-3.311250305E1,-4.644375229E1
5.583172289E0,-1.987500072E0,-3.311250305E1,-4.625625229E1
5.603168972E0,-2.212500095E0,-3.335625076E1,-4.625625229E1
5.623158500E0,-2.400000095E0,-3.335625076E1,-4.644375229E1
5.643138028E0,-2.512500048E0,-3.335625076E1,-4.625625229E1
5.663115879E0,-2.512500048E0,-3.335625076E1,-4.625625229E1
5.683089740E0,-2.456250191E0,-3.318750000E1,-4.608750153E1
5.703097624E0,-2.456250191E0,-3.318750000E1,-4.571250153E1
5.723090480E0,-2.456250191E0,-3.305625153E1,-4.554375076E1
5.743105945E0,-2.456250191E0,-3.294375229E1,-4.571250153E1
5.763132940E0,-2.512500048E0,-3.251250076E1,-4.554375076E1
5.783133069E0,-2.512500048E0,-3.251250076E1,-4.554375076E1
